method,missing_mode,missing_value,metric,n,win_rate,median_improvement,mne_median,trss_median
trss_default,high_variance,0.1,runtime_s,15,0.0,-11.063780590066674,0.0101884240011713,0.1312830299993947
trss_default,high_variance,0.3,mae,15,0.7333333333333333,0.12859796234421794,1.0281981879905864e-05,9.784815041406309e-06
trss_default,high_variance,0.3,nrmse,15,0.7333333333333333,0.11610335234825674,0.6879266856354241,0.582684014887359
trss_default,high_variance,0.3,lsd,15,0.13333333333333333,-0.035559645488034815,0.5567539683059607,0.5574617532934861
trss_default,high_variance,0.3,runtime_s,15,0.0,-11.076208451574583,0.009406488001332,0.1331546849996812
trss_default,high_variance,0.4,mae,15,0.8,0.10060219701015069,1.12256628572505e-05,1.048446358381814e-05
trss_default,high_variance,0.4,nrmse,15,0.8,0.09356839027516209,0.6596043153359669,0.6322705681269627
trss_default,high_variance,0.4,lsd,15,0.2,-0.06379498368202485,0.5360537511292178,0.5720049086576641
trss_default,high_variance,0.4,runtime_s,15,0.0,-15.6753131778176,0.0090568079995136,0.1465904770011548
trss_default,high_variance,1.0,mae,15,0.6666666666666666,0.09748452297192865,1.2522222765864093e-05,1.385776189722036e-05
trss_default,high_variance,1.0,nrmse,15,0.5333333333333333,0.057994736765178204,0.397967293829952,0.4698776392145847
trss_default,high_variance,1.0,lsd,15,0.5333333333333333,0.008650427803140069,0.920851173467974,0.9392129252890592
trss_default,high_variance,1.0,runtime_s,15,0.0,-10.353119962532677,0.0083699419992626,0.1170223970002553
trss_default,high_variance,2.0,mae,15,0.6666666666666666,0.10834602153472629,1.246720211346268e-05,7.149385272775806e-06
trss_default,high_variance,2.0,nrmse,15,0.6,0.06346674008593048,0.6476758428060411,0.6685929266023829
trss_default,high_variance,2.0,lsd,15,0.3333333333333333,-0.08199906461749115,0.647456491103731,0.5736682109475018
trss_default,high_variance,2.0,runtime_s,15,0.0,-8.140787171473834,0.0123810749992117,0.1222306520012352
trss_default,nearby,0.1,mae,15,0.8,0.19546903623989453,1.1182077176688933e-05,9.072487608382816e-06
trss_default,nearby,0.1,nrmse,15,0.7333333333333333,0.20621626250919925,0.6799013318012794,0.6087683456951897
