graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
knn__k5,synthetic_broad,0.2,directed_tv,0.1198241533464619,18,2.856025168737767e-17,0.1198241533464619,0.1198241533464619,heat_diffusion_temporal,0.1206245453557503,18,2.856025168737767e-17,0.0008003920092884,3.683348423440707e-09,9.097870605898546e-07,True,1.0
knn__k5,synthetic_broad,0.3,directed_tv,0.1984018268096209,19,0.0,0.1984018268096209,0.1984018268096209,heat_diffusion_temporal,0.1989892419224689,19,0.0,0.0005874151128479,1.3120632979510227e-09,3.516329638508741e-07,True,1.0
knng__k4_sigma1,synthetic_broad,0.1,directed_tv,0.0760447268939126,17,0.0,0.0760447268939126,0.0760447268939126,heat_diffusion_temporal,0.0800986413131064,17,0.0,0.0040539144191937,1.036256682624278e-08,2.3523026695571107e-06,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_broad,0.1,directed_tv,0.0760415013431796,17,0.0,0.0760415013431796,0.0760415013431796,heat_diffusion_temporal,0.0801773425579821,17,0.0,0.0041358412148025,1.036256682624278e-08,2.290127268599654e-06,True,1.0
knng__k4_sigma1,synthetic_beta,0.2,gsmooth,0.1328613633611322,16,0.0,0.1328613633611322,0.1328613633611322,heat_diffusion_temporal,0.1328895980734084,16,0.0,2.8234712276198337e-05,2.9225329082331762e-08,6.108093778207338e-06,True,1.0
nnk__k4,synthetic_beta,0.1,gsmooth,0.0651068410782072,18,0.0,0.0651068410782072,0.0651068410782072,heat_diffusion_temporal,0.065452944925392,18,0.0,0.0003461038471847,3.683348423440707e-09,8.876869700492104e-07,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_beta,0.2,gsmooth,0.1327545351918531,16,0.0,0.1327545351918531,0.1327545351918531,heat_diffusion_temporal,0.1328082211442333,16,0.0,5.368595238020024e-05,2.9225329082331762e-08,5.961967132795679e-06,True,1.0
knn__k3,physionet_eegmmidb,0.1,gsp,1.6656211353933758e-06,77,1.437394505982265e-07,1.6347472893518049e-06,1.6991661780076583e-06,gsmooth,1.831002224597893e-06,78,1.678231160458013e-07,1.653810892045172e-07,2.194517967113099e-08,4.762103988635425e-06,True,0.5208125208125208
knn__k3,synthetic_alpha,0.3,heat_diffusion_temporal,0.194213962947145,20,0.044454078441162,0.1743334946928358,0.2041541970742996,directed_tv,0.1975352741787891,20,0.0454470040532057,0.0033213112316441,4.3423339118436015e-08,8.641244484568767e-06,True,0.9
gaussian__sigma1,synthetic_beta,0.2,heat_diffusion_temporal,0.1340096371196641,17,0.0,0.1340096371196641,0.1340096371196641,tv,0.1340780619424771,17,0.0,6.842482281299578e-05,1.036256682624278e-08,2.42484063734081e-06,True,1.0
knn__k3,synthetic_beta,0.1,heat_diffusion_temporal,0.0616728807963703,19,0.0138352700527492,0.0553248235314725,0.0648469094288191,gsmooth,0.0618585694882709,19,0.0133032317748681,0.0001856886919006,9.92434764244364e-08,1.875701704421848e-05,True,0.9002770083102493
